timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,
2050-01-06 23:00:00+00:00,4662.9524,17559.829,0,-1350,1098.99690807851,19773.7848237395,0,,,,
2050-01-07 00:00:00+00:00,0,16733.6,0,-1350,792.742861263696,14590.8566566852,0,,,,
2050-01-07 01:00:00+00:00,12087.287,5290.008,0,-1350,881.228340746011,15146.0667758959,0,,,,
2050-01-07 02:00:00+00:00,241.76088,17559.829,0,-1350,847.683640532428,15603.9066031353,0,,,,
2050-01-07 03:00:00+00:00,12087.287,6878.9389,0,-1350,950.312290915606,16665.913679627,0,,,,
2050-01-07 04:00:00+00:00,4295.5926,17559.829,0,-1350,1609.78296484426,18895.638968959,0,,,,
2050-01-07 05:00:00+00:00,0,11321.609,16711.063,0,3419.20222663529,24613.469112392,0,,,,
2050-01-07 06:00:00+00:00,0,17217.321,16576.154,0,4476.31359012279,29317.1613731516,0,,,,
2050-01-07 07:00:00+00:00,0,16052.499,16711.063,0,4273.41348450657,28490.148520859,0,,,,
2050-01-07 08:00:00+00:00,0,14187.533,16711.063,904.5,3372.78361444786,28430.3120285861,0,,,,
2050-01-07 09:00:00+00:00,0,12434.152,16711.063,1350,3243.86317200537,27251.3518081066,0,,,,
2050-01-07 10:00:00+00:00,0,12443.996,16711.063,0,2988.7421276783,26166.3167482251,0,,,,
2050-01-07 11:00:00+00:00,0,11230.947,16711.063,0,2944.49938793714,24997.5105991615,0,,,,
2050-01-07 12:00:00+00:00,0,10409.374,16711.063,0,2857.10184467796,24263.3349712437,0,,,,
2050-01-07 13:00:00+00:00,0,10134.126,16711.063,0,2402.70714881181,24442.4818026546,0,,,,
2050-01-07 14:00:00+00:00,0,10408.467,16711.063,0,2280.49564641205,24839.0345559903,0,,,,
2050-01-07 15:00:00+00:00,0,14906.123,12668.708,0,2071.97453697627,25502.8569748115,0,,,,
2050-01-07 16:00:00+00:00,5578.0313,17559.829,4222.051,1350,2210.68640542703,26499.2252325069,0,,,,
2050-01-07 17:00:00+00:00,8631.6011,17559.829,1884.8872,1350,2537.06727237,26889.2503685038,0,,,,
2050-01-07 18:00:00+00:00,9452.675,17559.829,1205.0636,1350,2541.96298537414,27025.6050418044,0,,,,
2050-01-07 19:00:00+00:00,9945.4142,17559.829,440.70308,1350,2729.45066116248,26566.4959556379,0,,,,
2050-01-07 20:00:00+00:00,10794.327,17559.829,0,0,2841.14544673853,25513.0110462276,0,,,,
2050-01-07 21:00:00+00:00,9469.4546,17559.829,0,-1350,2556.46880168271,23122.8151639819,0,,,,
2050-01-07 22:00:00+00:00,12087.287,9572.3063,0,-1350,1846.40909337791,18463.1843202595,0,,,,
2050-01-07 23:00:00+00:00,12087.287,5760.5405,0,-1350,1096.63971292837,15401.187820223,0,,,,
2050-01-08 00:00:00+00:00,12087.287,608.0745,0,-1350,861.282843321718,10484.0787370234,0,,,,
2050-01-08 01:00:00+00:00,0,13089.557,0,-1350,900.085901947159,10839.4712365835,0,,,,
2050-01-08 02:00:00+00:00,12087.287,1385.4049,0,-1350,768.626941650688,11354.0650701303,0,,,,
2050-01-08 03:00:00+00:00,0,14630.619,0,-1350,946.86715954232,12333.7516390707,0,,,,
2050-01-08 04:00:00+00:00,12087.287,5355.6469,0,-1350,1580.22736411553,14512.7065713227,0,,,,
2050-01-08 05:00:00+00:00,6294.4941,17559.829,0,-1350,3177.31773968978,19327.0056814353,0,,,,
2050-01-08 06:00:00+00:00,12087.287,16053.142,0,-1350,4425.54323304278,22364.8862618588,0,,,,
