timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,,
2050-01-09 02:00:00+00:00,12579.358,0,0,-900,950.312290915606,10729.0457099345,0,,,,,
2050-01-09 03:00:00+00:00,13915.888,0,0,-900,1235.8955494907,11779.9921014909,0,,,,,
2050-01-09 04:00:00+00:00,14334.729,2975.1575,0,-900,1934.35060474865,14475.535417032,0,,,,,
2050-01-09 05:00:00+00:00,5393.1665,18646.874,0,-900,3497.17098929389,19642.8698315546,0,,,,,
2050-01-09 06:00:00+00:00,7988.801,18646.874,0,-900,4234.24778047343,21501.4275460909,0,,,,,
2050-01-09 07:00:00+00:00,14334.729,10829.694,0,-900,4107.14056506953,20157.2823423974,0,,,,,
2050-01-09 08:00:00+00:00,14334.729,9638.5855,0,-900,3162.63060067736,19910.6834651516,0,,,,,
2050-01-09 09:00:00+00:00,14334.729,8445.1195,0,-900,3019.74831003788,18860.099719003,0,,,,,
2050-01-09 10:00:00+00:00,14334.729,7135.4256,0,-900,2830.6287299148,17739.5254091654,0,,,,,
2050-01-09 11:00:00+00:00,2168.3422,18646.874,0,-900,2772.2428192728,17142.9737134753,0,,,,,
2050-01-09 12:00:00+00:00,1612.0442,18646.874,0,-900,2715.48881296549,16643.4296643487,0,,,,,
2050-01-09 13:00:00+00:00,1313.7683,18646.874,0,-900,2292.82559027435,16767.8170391947,0,,,,,
2050-01-09 14:00:00+00:00,1758.9156,18646.874,0,-900,2225.1922217356,17280.5976457029,0,,,,,
2050-01-09 15:00:00+00:00,2124.0995,18646.874,0,-900,2025.91857019654,17845.0552228104,0,,,,,
2050-01-09 16:00:00+00:00,3230.7119,18646.874,0,-900,2199.98836589945,18777.5978887479,0,,,,,
2050-01-09 17:00:00+00:00,4425.2659,18646.874,0,-900,2489.92336936712,19682.2168582915,0,,,,,
2050-01-09 18:00:00+00:00,14334.729,9147.9263,0,-900,2515.8525160187,20066.8023131727,0,,,,,
2050-01-09 19:00:00+00:00,4905.0458,18646.874,0,-900,2662.17993803146,19989.7401640334,0,,,,,
2050-01-09 20:00:00+00:00,4529.5265,18646.874,0,-900,2774.96265983065,19501.4381225459,0,,,,,
2050-01-09 21:00:00+00:00,2311.2245,18646.874,0,-900,2567.16684121029,17490.9319821773,0,,,,,
2050-01-09 22:00:00+00:00,0,16710.071,0,-900,1842.78263930076,13967.2878781202,0,,,,,
2050-01-09 23:00:00+00:00,0,13280.896,0,-900,1134.53615803453,11246.3593840391,0,,,,,
2050-01-10 00:00:00+00:00,0,15513.159,0,-900,779.868949289834,13833.2903999698,0,,,,,
2050-01-10 01:00:00+00:00,0,14209.44,0,900,897.728706797017,14211.7108829198,0,,,,,
2050-01-10 02:00:00+00:00,0,11357.474,3229.2982,900,867.629137956721,14619.1429984869,0,,,,,
2050-01-10 03:00:00+00:00,0,9336.9809,6568.1886,900,980.955827867473,15824.2136883219,0,,,,,
2050-01-10 04:00:00+00:00,0,8666.3582,9933.2667,900,1661.64125814742,17837.9836373599,0,,,,,
2050-01-10 05:00:00+00:00,0,12013.655,13749.304,900,3495.90173036688,23167.0579037231,0,,,,,
2050-01-10 06:00:00+00:00,0,12793.106,17945.348,900,4558.81542037783,27079.6392075538,0,,,,,
2050-01-10 07:00:00+00:00,0,10920.779,18722.487,900,4299.52395386201,26243.7415427721,0,,,,,
2050-01-10 08:00:00+00:00,0,16530.594,12374.144,900,3316.02960814055,26488.7085156832,0,,,,,
2050-01-10 09:00:00+00:00,1538.7777,18646.874,7588.5391,900,3190.73561977521,25483.4554454989,0,,,,,
2050-01-10 10:00:00+00:00,7708.0088,18646.874,164.37353,900,2968.79663025399,24450.4600016244,0,,,,,
2050-01-10 11:00:00+00:00,8520.2579,18646.874,0,-900,2935.07060733657,23332.0615642332,0,,,,,
2050-01-10 12:00:00+00:00,7746.5539,18646.874,0,-900,2845.31586892724,22648.1123252838,0,,,,,
2050-01-10 13:00:00+00:00,7551.306,18646.874,0,-772.02282,2364.99202640951,23061.1654446705,0,,,,,
2050-01-10 14:00:00+00:00,6065.8642,18646.874,0,900,2297.17733516691,23315.5611981821,0,,,,,
2050-01-10 15:00:00+00:00,6488.5274,18646.874,0,900,2095.5464884777,23939.8552675625,0,,,,,
2050-01-10 16:00:00+00:00,9295.2311,18646.874,0,-900,2251.84665920262,24790.2587486528,0,,,,,
