timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-09 00:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,3701.6191,107010.0
2050-01-09 01:00:00+00:00,0.0,0.0,4032.0643,280.95333,6528.1245,4511.6191,110700.0
2050-01-09 02:00:00+00:00,0.0,0.0,16341.045,280.95333,6528.1245,5321.6191,114390.0
2050-01-09 03:00:00+00:00,0.0,0.0,20664.769,280.95333,6528.1245,6131.6191,118080.0
2050-01-09 04:00:00+00:00,0.0,0.0,22285.508,280.95333,6528.1245,6941.6191,121770.0
2050-01-09 05:00:00+00:00,0.0,0.0,34178.575,280.95333,6528.1245,7751.6191,125460.0
2050-01-09 06:00:00+00:00,0.0,0.0,34178.575,280.95333,6528.1245,8561.6191,129150.0
2050-01-09 07:00:00+00:00,0.0,0.0,34178.575,280.95333,6528.1245,9371.6191,132840.0
2050-01-09 08:00:00+00:00,0.0,0.0,34178.575,284.07,6603.5387,10181.619,136530.0
2050-01-09 09:00:00+00:00,0.0,0.0,46487.556,298.69,6957.2997,10991.619,140220.0
2050-01-09 10:00:00+00:00,0.0,0.0,58796.538,334.84333,7832.104,11801.619,143910.0
2050-01-09 11:00:00+00:00,0.0,0.0,71105.519,387.37333,9103.1755,12611.619,147600.0
2050-01-09 12:00:00+00:00,0.0,0.0,83414.5,440.75333,10394.815,13421.619,151290.0
2050-01-09 13:00:00+00:00,0.0,0.0,83414.5,472.26,11157.183,14231.619,154229.71
2050-01-09 14:00:00+00:00,0.0,0.0,72065.869,480.98667,11368.343,15041.619,149674.15
2050-01-09 15:00:00+00:00,0.0,0.0,72065.869,480.98667,11368.343,15851.619,145118.6
2050-01-09 16:00:00+00:00,0.0,0.0,58686.542,480.98667,11368.343,16661.619,140563.04
2050-01-09 17:00:00+00:00,0.0,518.97022,45307.214,480.98667,11368.343,17471.619,136007.49
2050-01-09 18:00:00+00:00,0.0,3220.9417,31927.887,480.98667,1868.6215,18281.619,131451.93
2050-01-09 19:00:00+00:00,0.0,5922.9132,18548.56,480.98667,1868.6215,19091.619,126896.38
2050-01-09 20:00:00+00:00,0.0,8624.8847,5169.2323,480.98667,1868.6215,19901.619,122340.82
2050-01-09 21:00:00+00:00,0.0,11326.856,0.0,480.98667,1.1368684e-12,20711.619,117785.27
2050-01-09 22:00:00+00:00,247.77611,14028.828,0.0,480.98667,1.8189894e-12,21521.619,113229.71
2050-01-09 23:00:00+00:00,495.55222,16730.799,0.0,480.98667,1.8189894e-12,22331.619,108674.15
2050-01-10 00:00:00+00:00,580.0,18310.5,0.0,480.98667,1.8189894e-12,23141.619,104118.6
2050-01-10 01:00:00+00:00,240.58067,15639.34,0.0,480.98667,1.8189894e-12,22141.619,99563.044
2050-01-10 02:00:00+00:00,0.0,12702.414,0.0,480.98667,1.8189894e-12,21141.619,95007.488
2050-01-10 03:00:00+00:00,0.0,9765.4889,0.0,480.98667,1.8189894e-12,20141.619,90451.933
2050-01-10 04:00:00+00:00,0.0,6828.5634,0.0,480.98667,1.8189894e-12,19141.619,85896.377
2050-01-10 05:00:00+00:00,0.0,3891.6379,0.0,480.98667,1.8189894e-12,18141.619,81340.822
2050-01-10 06:00:00+00:00,0.0,2936.9255,0.0,480.98667,0.0,17141.619,76785.266
2050-01-10 07:00:00+00:00,0.0,2936.9255,0.0,481.27,0.0,16141.619,72229.711
2050-01-10 08:00:00+00:00,0.0,0.0,0.0,494.75667,0.0,15141.619,67674.155
2050-01-10 09:00:00+00:00,0.0,0.0,0.0,533.97,948.84733,14141.619,63118.599
2050-01-10 10:00:00+00:00,0.0,0.0,11730.932,596.19,2454.3883,13141.619,63118.599
2050-01-10 11:00:00+00:00,0.0,2701.9715,24039.914,669.51667,4228.678,13951.619,66808.599
2050-01-10 12:00:00+00:00,0.0,4163.0869,36348.895,742.84333,6002.9677,14761.619,70498.599
